GME,PLTR
367,1870
948,1051
639,3431
412,1254
618,1440
426,646
403,823
261,740
234,1890
361,823
45,49
697,907
397,429
515,803
601,458
622,806
1130,442
484,586
522,442
567,992
995,418
1246,538
1353,311
1619,438
2726,1455
4572,1295
1899,1466
166,81
4375,1296
2656,942
1633,750
2422,758
2442,764
1365,532
2394,639
2591,781
2689,648
1674,566
1208,966
1777,1759
375,478
316,851
792,529
363,1035
1524,597
783,222
649,223
4817,1496
2234,1431
4843,1103
2121,699
5049,1277
127,454
0,0
199,453
845,729
149,326
0,0
134,469
298,831
110,550
269,1175
102,552
296,945
199,456
0,0
141,715
62,153
99,282
370,1027
240,261
465,787
227,443
650,933
274,593
698,1328
431,496
503,617
319,311
1872,1169
566,473
1662,1209
118,655
317,1543
71,383
120,465
459,856
87,569
297,946
74,484
165,930
